               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,            0.033583,            0.012705,           0.0012809,             0.91333,              0.8088,             0.90152,             0.46093,            0.034978,            0.011135,           0.0027897,            0.003862,            0.003862,            0.003862
                  64,            0.034333,            0.015346,           0.0011837,             0.73407,             0.76526,             0.84333,             0.39032,            0.036981,            0.010954,           0.0028526,            0.003763,            0.003763,            0.003763
                  65,            0.032993,               0.015,           0.0015512,             0.85349,             0.89868,             0.90978,             0.50264,            0.032929,            0.010849,            0.002613,            0.003664,            0.003664,            0.003664
                  66,            0.032421,            0.014988,           0.0011138,             0.81439,             0.92017,             0.89165,             0.52916,            0.035525,            0.011169,            0.002588,            0.003565,            0.003565,            0.003565
                  67,            0.032172,            0.014131,           0.0013344,             0.83195,              0.8816,             0.87485,             0.45901,            0.038537,            0.012096,           0.0025402,            0.003466,            0.003466,            0.003466
                  68,            0.034928,            0.014381,          0.00093901,             0.78472,             0.87205,             0.87163,             0.45758,            0.037245,            0.011654,           0.0023239,            0.003367,            0.003367,            0.003367
                  69,            0.031251,            0.011782,          0.00080652,             0.86047,             0.88914,             0.88723,             0.50997,            0.036124,            0.012487,           0.0024245,            0.003268,            0.003268,            0.003268
                  70,            0.035811,            0.013785,           0.0010867,             0.86248,             0.87179,              0.8894,             0.42762,            0.037346,            0.011996,           0.0019924,            0.003169,            0.003169,            0.003169
                  71,            0.033901,            0.013564,          0.00094343,             0.83152,             0.81624,             0.87392,             0.40835,            0.035744,            0.012597,           0.0020279,             0.00307,             0.00307,             0.00307
                  72,            0.033036,            0.013967,          0.00087701,             0.84363,             0.86112,             0.90019,             0.45071,            0.037706,            0.011652,           0.0015509,            0.002971,            0.002971,            0.002971
                  73,            0.032183,            0.012555,          0.00084145,             0.82809,             0.89192,             0.91295,             0.51994,            0.032064,            0.010539,           0.0013294,            0.002872,            0.002872,            0.002872
                  74,            0.034021,            0.014992,          0.00084693,             0.88022,             0.82836,             0.89407,             0.50505,            0.033092,            0.010771,           0.0012959,            0.002773,            0.002773,            0.002773
                  75,            0.027451,            0.012781,          0.00079368,             0.82049,             0.89744,             0.89602,             0.53164,            0.031066,            0.010833,           0.0011636,            0.002674,            0.002674,            0.002674
                  76,            0.031135,            0.015974,          0.00083396,             0.81413,              0.9377,             0.91416,             0.51258,            0.030672,            0.010513,           0.0011053,            0.002575,            0.002575,            0.002575
                  77,            0.029159,            0.013691,           0.0011798,             0.73895,             0.94429,             0.87133,             0.47706,            0.031434,            0.010096,           0.0010689,            0.002476,            0.002476,            0.002476
                  78,            0.030516,            0.012251,          0.00083813,             0.78411,             0.90221,             0.92096,             0.52988,            0.030356,            0.010076,           0.0011608,            0.002377,            0.002377,            0.002377
                  79,            0.026603,            0.012396,          0.00064331,             0.83885,             0.79675,             0.88864,             0.53814,            0.032022,            0.010131,           0.0012729,            0.002278,            0.002278,            0.002278
                  80,            0.031791,            0.012991,          0.00071422,             0.78451,              0.9626,             0.92425,             0.55837,            0.031874,             0.01036,           0.0014821,            0.002179,            0.002179,            0.002179
                  81,            0.030117,            0.014148,          0.00090732,             0.79217,             0.93428,             0.90311,             0.56644,            0.032229,            0.010387,           0.0015171,             0.00208,             0.00208,             0.00208
                  82,             0.02884,            0.012413,          0.00059106,             0.85309,             0.88556,             0.92873,             0.54878,            0.032202,            0.010266,           0.0015906,            0.001981,            0.001981,            0.001981
                  83,            0.030021,            0.014029,          0.00085824,             0.87237,             0.91774,             0.91082,             0.57401,            0.030327,            0.010303,           0.0015518,            0.001882,            0.001882,            0.001882
                  84,            0.029211,            0.011652,          0.00091967,                0.87,             0.90499,             0.91052,             0.56438,            0.030017,            0.010312,           0.0016167,            0.001783,            0.001783,            0.001783
                  85,            0.027327,            0.013189,          0.00066151,             0.85175,             0.89744,             0.90881,             0.52861,            0.030896,            0.010425,           0.0015446,            0.001684,            0.001684,            0.001684
                  86,            0.029102,            0.013361,          0.00073392,             0.87881,             0.87885,             0.90915,              0.5253,            0.031173,            0.010935,           0.0015697,            0.001585,            0.001585,            0.001585
                  87,            0.027506,            0.013213,          0.00066331,             0.84749,             0.88006,             0.91657,             0.50838,            0.030953,            0.010732,           0.0013898,            0.001486,            0.001486,            0.001486
                  88,            0.028919,            0.012167,          0.00062121,             0.80141,             0.87814,             0.90235,             0.55096,            0.031111,            0.010615,           0.0013947,            0.001387,            0.001387,            0.001387
                  89,            0.028422,             0.01359,          0.00079743,             0.85312,             0.88034,             0.93039,              0.5384,            0.030211,            0.010398,           0.0014245,            0.001288,            0.001288,            0.001288
                  90,            0.027214,            0.012718,          0.00065799,             0.82692,             0.87285,             0.91321,              0.5325,            0.029884,            0.010331,           0.0014571,            0.001189,            0.001189,            0.001189
                  91,            0.028291,            0.013031,           0.0006089,             0.84871,             0.93067,             0.91615,             0.52668,            0.029851,            0.010115,           0.0014503,             0.00109,             0.00109,             0.00109
                  92,            0.027323,            0.011849,          0.00061265,             0.84237,             0.93433,             0.91624,             0.53725,            0.029487,            0.010063,           0.0014634,            0.000991,            0.000991,            0.000991
                  93,            0.027116,            0.011938,           0.0013911,             0.84176,              0.9359,             0.91699,             0.55976,            0.029292,           0.0099385,           0.0013176,            0.000892,            0.000892,            0.000892
                  94,            0.025979,            0.012188,          0.00062111,             0.86264,             0.93533,             0.91745,             0.55343,            0.029201,           0.0099198,           0.0012805,            0.000793,            0.000793,            0.000793
                  95,            0.027896,            0.013019,           0.0015813,             0.85017,              0.9592,             0.93824,             0.54875,            0.029315,           0.0098954,            0.001283,            0.000694,            0.000694,            0.000694
                  96,            0.026074,             0.01249,          0.00060532,             0.84826,             0.95832,             0.93912,             0.55464,            0.029008,           0.0098434,           0.0012938,            0.000595,            0.000595,            0.000595
                  97,             0.02644,            0.013221,          0.00064052,             0.87023,             0.95265,             0.93267,             0.56106,            0.028798,           0.0098033,           0.0013129,            0.000496,            0.000496,            0.000496
                  98,             0.02316,            0.011253,          0.00052485,             0.86944,             0.95413,             0.93334,             0.55751,            0.028623,           0.0097848,           0.0012905,            0.000397,            0.000397,            0.000397
                  99,            0.025933,            0.013049,            0.001112,             0.85558,             0.94521,             0.91436,             0.55699,            0.028585,           0.0097664,           0.0013015,            0.000298,            0.000298,            0.000298
